,no_nickel,topology,no_corners_comb,no_edges_comb,all_comb,all_corners_comb,all_edges_comb,c_atom,mass_center
34,5,"['Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",6,13,80,"[[1, 2, 3, 'Ni'], [4, 3.1, 2, 'Cu'], [5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu'], [7, 1, 4, 'Cu'], [10, 0, 5, 'Ni']]","[[[1, 2, 3, 'Ni'], [2, 2, 3, 'Ni']], [[1, 2, 3, 'Ni'], [4, 3.1, 2, 'Cu']], [[1, 2, 3, 'Ni'], [5, 2.1, 3, 'Cu']], [[1, 2, 3, 'Ni'], [6, 2, 3, 'Cu']], [[2, 2, 3, 'Ni'], [7, 1, 4, 'Cu']], [[4, 3.1, 2, 'Cu'], [5, 2.1, 3, 'Cu']], [[4, 3.1, 2, 'Cu'], [10, 0, 5, 'Ni']], [[5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2.1, 3, 'Cu'], [10, 0, 5, 'Ni']], [[5, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu']], [[6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [11, 1, 4, 'Cu']], [[10, 0, 5, 'Ni'], [11, 1, 4, 'Cu']]]",1,0.0325
35,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",5,11,67,"[[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu'], [4, 1, 4, 'Ni'], [5, 2, 3, 'Cu'], [9, 1, 4, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [4, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[3, 3, 2, 'Cu'], [4, 1, 4, 'Ni']], [[3, 3, 2, 'Cu'], [8, 2, 3, 'Cu']], [[3, 3, 2, 'Cu'], [9, 1, 4, 'Cu']], [[4, 1, 4, 'Ni'], [5, 2, 3, 'Cu']], [[4, 1, 4, 'Ni'], [9, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[9, 1, 4, 'Cu'], [10, 1, 4, 'Cu']]]",1,0.05118
36,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu']",7,15,93,"[[1, 2.1, 3, 'Ni'], [3, 4, 1, 'Cu'], [4, 1, 4, 'Ni'], [5, 2, 3, 'Cu'], [9, 2.1, 3, 'Cu'], [10, 1, 4, 'Cu'], [11, 0, 5, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 4, 1, 'Cu']], [[1, 2.1, 3, 'Ni'], [4, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[3, 4, 1, 'Cu'], [4, 1, 4, 'Ni']], [[3, 4, 1, 'Cu'], [9, 2.1, 3, 'Cu']], [[4, 1, 4, 'Ni'], [5, 2, 3, 'Cu']], [[4, 1, 4, 'Ni'], [9, 2.1, 3, 'Cu']], [[4, 1, 4, 'Ni'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [11, 0, 5, 'Cu']], [[9, 2.1, 3, 'Cu'], [10, 1, 4, 'Cu']], [[10, 1, 4, 'Cu'], [11, 0, 5, 'Cu']], [[10, 1, 4, 'Cu'], [12, 1, 4, 'Cu']]]",1,0.03653
37,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",5,11,67,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [4, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[2, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[3, 3, 2, 'Cu'], [8, 1, 4, 'Cu']], [[3, 3, 2, 'Cu'], [9, 2, 3, 'Cu']], [[6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [8, 1, 4, 'Cu']]]",1,0.02577
38,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu']",7,15,93,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [5, 3.1, 2, 'Cu'], [7, 2.1, 3, 'Cu'], [8, 1, 4, 'Cu'], [11, 0, 5, 'Ni']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [5, 3.1, 2, 'Cu']], [[2, 1, 4, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 1, 4, 'Ni'], [6, 3.1, 2, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[2, 1, 4, 'Ni'], [8, 1, 4, 'Cu']], [[3, 3, 2, 'Cu'], [8, 1, 4, 'Cu']], [[5, 3.1, 2, 'Cu'], [6, 3.1, 2, 'Cu']], [[5, 3.1, 2, 'Cu'], [10, 2.1, 3, 'Cu']], [[5, 3.1, 2, 'Cu'], [11, 0, 5, 'Ni']], [[7, 2.1, 3, 'Cu'], [8, 1, 4, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 0, 5, 'Ni']], [[8, 1, 4, 'Cu'], [9, 1, 4, 'Cu']], [[11, 0, 5, 'Ni'], [12, 1, 4, 'Cu']]]",1,0.04886
39,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni']",7,14,91,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [5, 2, 3, 'Cu'], [7, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu'], [12, 0, 5, 'Ni']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[3, 3, 2, 'Cu'], [8, 2.1, 3, 'Cu']], [[5, 2, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [10, 2.1, 3, 'Cu']], [[5, 2, 3, 'Cu'], [11, 1, 4, 'Cu']], [[7, 2.1, 3, 'Cu'], [8, 2.1, 3, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu']], [[7, 2.1, 3, 'Cu'], [12, 0, 5, 'Ni']], [[11, 1, 4, 'Cu'], [12, 0, 5, 'Ni']]]",1,0.07642
40,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Ni', 'Cu', 'Cu']",5,11,67,"[[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu'], [5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu']], [[1, 1, 4, 'Ni'], [5, 2.1, 3, 'Cu']], [[1, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[3, 3.1, 2, 'Cu'], [4, 3.1, 2, 'Cu']], [[3, 3.1, 2, 'Cu'], [8, 2.1, 3, 'Cu']], [[5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu']], [[6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [11, 1, 4, 'Cu']]]",1,0.01891
41,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Ni', 'Cu']",4,7,50,"[[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu'], [9, 0, 5, 'Ni']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu']], [[1, 1, 4, 'Ni'], [4, 2.1, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [9, 0, 5, 'Ni']], [[4, 2.1, 3, 'Cu'], [5, 2.1, 3, 'Cu']], [[4, 2.1, 3, 'Cu'], [9, 0, 5, 'Ni']]]",1,0.02359
42,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Ni']",5,11,67,"[[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu'], [6, 2, 3, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu']], [[1, 1, 4, 'Ni'], [4, 2.1, 3, 'Cu']], [[1, 1, 4, 'Ni'], [5, 1, 4, 'Cu']], [[1, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [8, 3.1, 2, 'Cu']], [[4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu']], [[4, 2.1, 3, 'Cu'], [10, 2, 3, 'Cu']], [[5, 1, 4, 'Cu'], [6, 2, 3, 'Cu']], [[5, 1, 4, 'Cu'], [11, 1, 4, 'Cu']]]",1,0.04976
43,5,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Ni']",3,6,39,"[[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu'], [4, 2.1, 3, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu']], [[1, 1, 4, 'Ni'], [4, 2.1, 3, 'Cu']], [[3, 2, 3, 'Cu'], [4, 2.1, 3, 'Cu']], [[3, 2, 3, 'Cu'], [9, 2, 3, 'Cu']], [[4, 2.1, 3, 'Cu'], [5, 2.1, 3, 'Cu']]]",1,0.05109
44,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",7,15,93,"[[1, 4, 1, 'Ni'], [2, 2, 3, 'Ni'], [3, 3, 2, 'Ni'], [6, 3, 2, 'Cu'], [7, 1, 4, 'Cu'], [8, 2, 3, 'Cu'], [12, 0, 5, 'Cu']]","[[[1, 4, 1, 'Ni'], [2, 2, 3, 'Ni']], [[1, 4, 1, 'Ni'], [3, 3, 2, 'Ni']], [[1, 4, 1, 'Ni'], [6, 3, 2, 'Cu']], [[2, 2, 3, 'Ni'], [7, 1, 4, 'Cu']], [[2, 2, 3, 'Ni'], [6, 3, 2, 'Cu']], [[2, 2, 3, 'Ni'], [3, 3, 2, 'Ni']], [[2, 2, 3, 'Ni'], [8, 2, 3, 'Cu']], [[3, 3, 2, 'Ni'], [4, 3, 2, 'Ni']], [[3, 3, 2, 'Ni'], [8, 2, 3, 'Cu']], [[6, 3, 2, 'Cu'], [7, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [8, 2, 3, 'Cu']], [[7, 1, 4, 'Cu'], [11, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [12, 0, 5, 'Cu']], [[8, 2, 3, 'Cu'], [9, 2, 3, 'Cu']], [[8, 2, 3, 'Cu'], [12, 0, 5, 'Cu']]]",0,0.05122
45,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",7,15,93,"[[1, 3, 2, 'Ni'], [2, 3.1, 2, 'Ni'], [4, 2, 3, 'Ni'], [5, 2, 3, 'Cu'], [6, 3, 2, 'Cu'], [7, 1, 4, 'Ni'], [10, 1, 4, 'Cu']]","[[[1, 3, 2, 'Ni'], [2, 3.1, 2, 'Ni']], [[1, 3, 2, 'Ni'], [3, 3, 2, 'Ni']], [[1, 3, 2, 'Ni'], [4, 2, 3, 'Ni']], [[1, 3, 2, 'Ni'], [5, 2, 3, 'Cu']], [[1, 3, 2, 'Ni'], [6, 3, 2, 'Cu']], [[2, 3.1, 2, 'Ni'], [7, 1, 4, 'Ni']], [[2, 3.1, 2, 'Ni'], [6, 3, 2, 'Cu']], [[4, 2, 3, 'Ni'], [5, 2, 3, 'Cu']], [[4, 2, 3, 'Ni'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [6, 3, 2, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[6, 3, 2, 'Cu'], [7, 1, 4, 'Ni']], [[6, 3, 2, 'Cu'], [11, 1, 4, 'Cu']], [[7, 1, 4, 'Ni'], [11, 1, 4, 'Cu']], [[10, 1, 4, 'Cu'], [11, 1, 4, 'Cu']]]",0,0.03881
46,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu']",7,16,95,"[[1, 3, 2, 'Ni'], [2, 2, 3, 'Ni'], [5, 3.1, 2, 'Cu'], [7, 2.1, 3, 'Cu'], [8, 2, 3, 'Cu'], [11, 0, 5, 'Ni'], [12, 1, 4, 'Cu']]","[[[1, 3, 2, 'Ni'], [2, 2, 3, 'Ni']], [[1, 3, 2, 'Ni'], [3, 3, 2, 'Ni']], [[1, 3, 2, 'Ni'], [5, 3.1, 2, 'Cu']], [[2, 2, 3, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 2, 3, 'Ni'], [6, 3.1, 2, 'Cu']], [[2, 2, 3, 'Ni'], [8, 2, 3, 'Cu']], [[3, 3, 2, 'Ni'], [8, 2, 3, 'Cu']], [[5, 3.1, 2, 'Cu'], [6, 3.1, 2, 'Cu']], [[5, 3.1, 2, 'Cu'], [10, 2.1, 3, 'Cu']], [[5, 3.1, 2, 'Cu'], [11, 0, 5, 'Ni']], [[7, 2.1, 3, 'Cu'], [8, 2, 3, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 0, 5, 'Ni']], [[7, 2.1, 3, 'Cu'], [12, 1, 4, 'Cu']], [[8, 2, 3, 'Cu'], [9, 2, 3, 'Cu']], [[8, 2, 3, 'Cu'], [12, 1, 4, 'Cu']], [[11, 0, 5, 'Ni'], [12, 1, 4, 'Cu']]]",0,0.0529
47,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",7,15,93,"[[1, 3.1, 2, 'Ni'], [3, 2, 3, 'Ni'], [4, 3, 2, 'Cu'], [5, 1, 4, 'Ni'], [6, 4, 1, 'Cu'], [9, 1, 4, 'Cu'], [11, 2.1, 3, 'Cu']]","[[[1, 3.1, 2, 'Ni'], [2, 3.1, 2, 'Ni']], [[1, 3.1, 2, 'Ni'], [3, 2, 3, 'Ni']], [[1, 3.1, 2, 'Ni'], [4, 3, 2, 'Cu']], [[1, 3.1, 2, 'Ni'], [5, 1, 4, 'Ni']], [[1, 3.1, 2, 'Ni'], [6, 4, 1, 'Cu']], [[3, 2, 3, 'Ni'], [4, 3, 2, 'Cu']], [[3, 2, 3, 'Ni'], [9, 1, 4, 'Cu']], [[4, 3, 2, 'Cu'], [5, 1, 4, 'Ni']], [[4, 3, 2, 'Cu'], [9, 1, 4, 'Cu']], [[5, 1, 4, 'Ni'], [6, 4, 1, 'Cu']], [[5, 1, 4, 'Ni'], [10, 1, 4, 'Cu']], [[5, 1, 4, 'Ni'], [11, 2.1, 3, 'Cu']], [[6, 4, 1, 'Cu'], [11, 2.1, 3, 'Cu']], [[9, 1, 4, 'Cu'], [10, 1, 4, 'Cu']], [[10, 1, 4, 'Cu'], [11, 2.1, 3, 'Cu']]]",0,0.01455
48,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",9,25,131,"[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni'], [4, 4, 1, 'Cu'], [5, 2.1, 3, 'Ni'], [6, 3, 2, 'Cu'], [7, 1, 4, 'Cu'], [8, 2, 3, 'Cu'], [9, 2.1, 3, 'Cu'], [10, 1, 4, 'Ni']]","[[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni']], [[1, 3.1, 2, 'Ni'], [4, 4, 1, 'Cu']], [[1, 3.1, 2, 'Ni'], [5, 2.1, 3, 'Ni']], [[1, 3.1, 2, 'Ni'], [6, 3, 2, 'Cu']], [[2, 2, 3, 'Ni'], [7, 1, 4, 'Cu']], [[2, 2, 3, 'Ni'], [6, 3, 2, 'Cu']], [[2, 2, 3, 'Ni'], [3, 2, 3, 'Ni']], [[2, 2, 3, 'Ni'], [8, 2, 3, 'Cu']], [[3, 2, 3, 'Ni'], [4, 4, 1, 'Cu']], [[3, 2, 3, 'Ni'], [9, 2.1, 3, 'Cu']], [[4, 4, 1, 'Cu'], [5, 2.1, 3, 'Ni']], [[4, 4, 1, 'Cu'], [9, 2.1, 3, 'Cu']], [[4, 4, 1, 'Cu'], [10, 1, 4, 'Ni']], [[5, 2.1, 3, 'Ni'], [6, 3, 2, 'Cu']], [[5, 2.1, 3, 'Ni'], [10, 1, 4, 'Ni']], [[5, 2.1, 3, 'Ni'], [11, 2, 3, 'Cu']], [[6, 3, 2, 'Cu'], [7, 1, 4, 'Cu']], [[6, 3, 2, 'Cu'], [11, 2, 3, 'Cu']], [[7, 1, 4, 'Cu'], [8, 2, 3, 'Cu']], [[7, 1, 4, 'Cu'], [12, 1, 4, 'Cu']], [[8, 2, 3, 'Cu'], [9, 2.1, 3, 'Cu']], [[9, 2.1, 3, 'Cu'], [10, 1, 4, 'Ni']], [[9, 2.1, 3, 'Cu'], [12, 1, 4, 'Cu']], [[10, 1, 4, 'Ni'], [11, 2, 3, 'Cu']], [[10, 1, 4, 'Ni'], [12, 1, 4, 'Cu']]]",0,0.01905
49,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu']",9,25,131,"[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni'], [4, 3, 2, 'Cu'], [5, 2.1, 3, 'Ni'], [6, 4, 1, 'Cu'], [7, 2.1, 3, 'Cu'], [8, 2, 3, 'Cu'], [9, 1, 4, 'Cu'], [11, 1, 4, 'Ni']]","[[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni']], [[1, 3.1, 2, 'Ni'], [4, 3, 2, 'Cu']], [[1, 3.1, 2, 'Ni'], [5, 2.1, 3, 'Ni']], [[1, 3.1, 2, 'Ni'], [6, 4, 1, 'Cu']], [[2, 2, 3, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 2, 3, 'Ni'], [6, 4, 1, 'Cu']], [[2, 2, 3, 'Ni'], [3, 2, 3, 'Ni']], [[2, 2, 3, 'Ni'], [8, 2, 3, 'Cu']], [[3, 2, 3, 'Ni'], [4, 3, 2, 'Cu']], [[3, 2, 3, 'Ni'], [9, 1, 4, 'Cu']], [[4, 3, 2, 'Cu'], [5, 2.1, 3, 'Ni']], [[4, 3, 2, 'Cu'], [9, 1, 4, 'Cu']], [[4, 3, 2, 'Cu'], [10, 2, 3, 'Cu']], [[5, 2.1, 3, 'Ni'], [6, 4, 1, 'Cu']], [[5, 2.1, 3, 'Ni'], [10, 2, 3, 'Cu']], [[5, 2.1, 3, 'Ni'], [11, 1, 4, 'Ni']], [[6, 4, 1, 'Cu'], [7, 2.1, 3, 'Cu']], [[6, 4, 1, 'Cu'], [11, 1, 4, 'Ni']], [[7, 2.1, 3, 'Cu'], [8, 2, 3, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 1, 4, 'Ni']], [[7, 2.1, 3, 'Cu'], [12, 1, 4, 'Cu']], [[8, 2, 3, 'Cu'], [9, 1, 4, 'Cu']], [[9, 1, 4, 'Cu'], [12, 1, 4, 'Cu']], [[10, 2, 3, 'Cu'], [11, 1, 4, 'Ni']], [[11, 1, 4, 'Ni'], [12, 1, 4, 'Cu']]]",0,0.02398
50,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni']",7,14,91,"[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni'], [4, 3, 2, 'Cu'], [5, 1, 4, 'Ni'], [7, 2.1, 3, 'Cu'], [8, 3.1, 2, 'Cu'], [12, 0, 5, 'Ni']]","[[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni']], [[1, 3.1, 2, 'Ni'], [4, 3, 2, 'Cu']], [[1, 3.1, 2, 'Ni'], [5, 1, 4, 'Ni']], [[2, 2, 3, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 2, 3, 'Ni'], [6, 3, 2, 'Cu']], [[2, 2, 3, 'Ni'], [3, 2, 3, 'Ni']], [[2, 2, 3, 'Ni'], [8, 3.1, 2, 'Cu']], [[4, 3, 2, 'Cu'], [5, 1, 4, 'Ni']], [[4, 3, 2, 'Cu'], [9, 2.1, 3, 'Cu']], [[5, 1, 4, 'Ni'], [10, 2.1, 3, 'Cu']], [[7, 2.1, 3, 'Cu'], [8, 3.1, 2, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 2.1, 3, 'Cu']], [[7, 2.1, 3, 'Cu'], [12, 0, 5, 'Ni']], [[8, 3.1, 2, 'Cu'], [12, 0, 5, 'Ni']]]",0,0.05001
51,5,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Ni', 'Cu']",5,12,69,"[[1, 2, 3, 'Ni'], [4, 3.1, 2, 'Cu'], [7, 2.1, 3, 'Cu'], [8, 2, 3, 'Cu'], [10, 1, 4, 'Ni']]","[[[1, 2, 3, 'Ni'], [2, 2, 3, 'Ni']], [[1, 2, 3, 'Ni'], [4, 3.1, 2, 'Cu']], [[2, 2, 3, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 2, 3, 'Ni'], [8, 2, 3, 'Cu']], [[4, 3.1, 2, 'Cu'], [5, 3.1, 2, 'Cu']], [[4, 3.1, 2, 'Cu'], [9, 2.1, 3, 'Cu']], [[4, 3.1, 2, 'Cu'], [10, 1, 4, 'Ni']], [[7, 2.1, 3, 'Cu'], [8, 2, 3, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 1, 4, 'Ni']], [[8, 2, 3, 'Cu'], [12, 2, 3, 'Cu']], [[10, 1, 4, 'Ni'], [11, 1, 4, 'Ni']], [[10, 1, 4, 'Ni'], [12, 2, 3, 'Cu']]]",0,0.02306
52,5,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu']",8,20,112,"[[1, 2.1, 3, 'Ni'], [3, 4, 1, 'Cu'], [5, 2, 3, 'Cu'], [6, 3, 2, 'Cu'], [7, 1, 4, 'Ni'], [8, 3.1, 2, 'Cu'], [11, 1, 4, 'Cu'], [12, 2.1, 3, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 4, 1, 'Cu']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[1, 2.1, 3, 'Ni'], [6, 3, 2, 'Cu']], [[2, 2.1, 3, 'Ni'], [7, 1, 4, 'Ni']], [[2, 2.1, 3, 'Ni'], [8, 3.1, 2, 'Cu']], [[3, 4, 1, 'Cu'], [8, 3.1, 2, 'Cu']], [[3, 4, 1, 'Cu'], [9, 1, 4, 'Ni']], [[5, 2, 3, 'Cu'], [6, 3, 2, 'Cu']], [[5, 2, 3, 'Cu'], [10, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [11, 1, 4, 'Cu']], [[6, 3, 2, 'Cu'], [7, 1, 4, 'Ni']], [[6, 3, 2, 'Cu'], [11, 1, 4, 'Cu']], [[7, 1, 4, 'Ni'], [8, 3.1, 2, 'Cu']], [[7, 1, 4, 'Ni'], [11, 1, 4, 'Cu']], [[7, 1, 4, 'Ni'], [12, 2.1, 3, 'Cu']], [[8, 3.1, 2, 'Cu'], [12, 2.1, 3, 'Cu']], [[9, 1, 4, 'Ni'], [10, 2, 3, 'Cu']], [[10, 2, 3, 'Cu'], [12, 2.1, 3, 'Cu']], [[11, 1, 4, 'Cu'], [12, 2.1, 3, 'Cu']]]",0,0.01483
53,5,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",5,13,71,"[[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu'], [7, 1, 4, 'Ni'], [8, 2, 3, 'Cu'], [11, 2.1, 3, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[2, 2.1, 3, 'Ni'], [7, 1, 4, 'Ni']], [[2, 2.1, 3, 'Ni'], [8, 2, 3, 'Cu']], [[3, 3, 2, 'Cu'], [8, 2, 3, 'Cu']], [[5, 3, 2, 'Cu'], [6, 3, 2, 'Cu']], [[5, 3, 2, 'Cu'], [10, 1, 4, 'Ni']], [[5, 3, 2, 'Cu'], [11, 2.1, 3, 'Cu']], [[7, 1, 4, 'Ni'], [8, 2, 3, 'Cu']], [[7, 1, 4, 'Ni'], [11, 2.1, 3, 'Cu']], [[8, 2, 3, 'Cu'], [9, 2, 3, 'Cu']], [[8, 2, 3, 'Cu'], [12, 2.1, 3, 'Cu']], [[11, 2.1, 3, 'Cu'], [12, 2.1, 3, 'Cu']]]",0,0.01889
