,no_nickel,topology,no_corners_comb,no_edges_comb,all_comb,all_corners_comb,all_edges_comb,c_atom,mass_center
0,0,"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",1,1,11,"[[1, 0, 5, 'Cu']]","[[[1, 0, 5, 'Cu'], [2, 0, 5, 'Cu']]]",0,0.01064
1,1,"['Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",1,1,11,"[[1, 0, 5, 'Cu']]","[[[1, 0, 5, 'Cu'], [2, 0, 5, 'Cu']]]",1,0.02466
2,1,"['Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",3,4,35,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']], [[2, 1, 4, 'Cu'], [6, 1, 4, 'Cu']], [[7, 0, 5, 'Cu'], [8, 0, 5, 'Cu']]]",0,0.0314
3,2,"['Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",3,4,35,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']], [[2, 1, 4, 'Cu'], [6, 1, 4, 'Cu']], [[7, 0, 5, 'Cu'], [8, 0, 5, 'Cu']]]",1,0.04719
4,2,"['Cu', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,8,52,"[[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu'], [4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu']], [[1, 1, 4, 'Ni'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [9, 0, 5, 'Cu']], [[4, 1, 4, 'Cu'], [5, 1, 4, 'Cu']], [[4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",0,0.02312
5,2,"['Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,7,50,"[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu']], [[1, 0, 5, 'Ni'], [3, 1, 4, 'Cu']], [[2, 2.1, 3, 'Cu'], [6, 2.1, 3, 'Cu']], [[2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [4, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",0,0.05334
6,2,"['Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni']",2,2,22,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 1, 4, 'Cu']]]",0,0.04569
7,3,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,8,52,"[[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu'], [4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu']], [[1, 1, 4, 'Ni'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [9, 0, 5, 'Cu']], [[4, 1, 4, 'Cu'], [5, 1, 4, 'Cu']], [[4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",1,0.0503
8,3,"['Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,7,50,"[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu']], [[1, 0, 5, 'Ni'], [3, 1, 4, 'Cu']], [[2, 2.1, 3, 'Cu'], [6, 2.1, 3, 'Cu']], [[2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [4, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",1,0.06978
9,3,"['Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni']",2,2,22,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 1, 4, 'Cu']]]",1,0.06408
